Date,Area,Above Treeline,At Treeline,Below Treeline,Yesterday Danger Above Treeline,Yesterday Danger At Treeline,Yesterday Danger Below Treeline,Max Air Temp 24hr,Total Snowfall 24hr,Delta SWE 24hr,Min Temp Diff 48hr,Max Windspeed 24hr,Was High Winds 24hr,Max Air Temp 72hr,Total Snowfall 72hr,Weighted Snowfall 96hr,Was Heavy Snowfall 24hr,Sum Max Temp 72hr
2022-11-25,West Slopes South,1,1,1,0,0,0,43.15,0.5,0.025,-5.2,43.06666666666666,1,0.0,0.0,0.0,0,0.0
2022-11-26,West Slopes South,3,2,1,1,1,1,35.8,1.25,0.15,-0.975,42.59666666666666,1,0.0,0.0,0.0,0,0.0
2022-11-27,West Slopes South,2,2,1,3,2,1,32.325,-1.0,0.125,-0.975,57.423333333333325,1,43.15,0.75,0.0,0,111.275
2022-11-28,West Slopes South,2,2,1,2,2,1,27.225,6.5,0.925,-5.925,77.89,1,35.8,6.75,6.5,0,95.35
2022-11-29,West Slopes South,3,3,2,2,2,1,28.950000000000003,2.75,0.25,0.65,38.36000000000001,1,32.325,8.25,7.4375,0,88.5
2022-11-30,West Slopes South,3,2,2,3,3,2,31.125,11.25,1.5,3.625,61.89333333333334,1,31.125,20.5,16.3125,0,87.30000000000001
2022-12-01,West Slopes South,2,2,1,3,2,2,28.925,10.0,1.35,-4.275,66.59666666666668,1,31.125,24.0,21.4375,0,89.0
2022-12-02,West Slopes South,2,2,1,2,2,1,27.05,-0.5,0.3,-0.025,38.82666666666666,1,31.125,20.75,13.3125,0,87.1
2022-12-03,West Slopes South,2,2,1,2,2,1,29.1,0.5,0.45,0.7999999999999999,41.42,1,29.1,10.0,7.9375,0,85.075
2022-12-04,West Slopes South,2,2,1,2,2,1,28.075,-1.75,0.075,0.175,49.656666666666666,1,29.1,-1.75,0.875,0,84.225
2022-12-05,West Slopes South,2,2,1,2,2,1,34.075,0.25,0.35,5.449999999999999,54.833333333333336,1,34.075,-1.0,-0.9375,0,91.25
2022-12-06,West Slopes South,2,1,1,2,2,1,29.4,-2.25,0.05,-2.75,32.47666666666667,1,34.075,-3.75,-2.8125,0,91.55
2022-12-07,West Slopes South,2,2,1,2,2,1,33.725,-0.25,0.05,-4.225,42.12666666666667,1,33.725,-2.75,-1.5,0,96.85
2022-12-07,West Slopes South,2,1,1,2,2,1,33.725,-0.25,0.05,-4.225,42.12666666666667,1,33.725,-2.75,-1.5,0,96.85
2022-12-08,West Slopes South,2,2,1,2,1,1,28.85,-1.25,0.0,3.025,44.00666666666666,1,33.725,-1.75,-2.125,0,96.30000000000001
2022-12-09,West Slopes South,4,4,3,2,2,1,27.75,3.5,0.6,-1.225,48.95000000000001,1,33.725,2.0,2.375,0,90.325
2022-12-10,West Slopes South,3,3,3,4,4,3,32.775,10.25,1.25,3.4,52.71666666666666,1,32.775,12.5,12.1875,0,89.375
2022-12-11,West Slopes South,2,2,2,3,3,3,32.575,-1.25,0.475,2.4,64.00999999999999,1,32.775,12.5,7.875,0,93.1
2022-12-12,West Slopes South,2,2,2,2,2,2,32.1,-0.5,0.05,-5.4,19.531333333333333,0,32.775,8.5,4.5625,0,97.45000000000002
2022-12-13,West Slopes South,2,2,2,2,2,2,32.05,-2.0,-0.1,-1.025,22.59,0,32.575,-3.75,-0.4375,0,96.72500000000001
2022-12-14,West Slopes South,2,2,2,2,2,2,34.525,-1.0,0.075,2.225,22.35333333333333,0,34.525,-3.5,-3.0625,0,98.67499999999998
2022-12-15,West Slopes South,2,2,2,2,2,2,33.525000000000006,-1.5,-0.075,-2.525,24.00333333333333,0,34.525,-4.5,-3.375,0,100.10000000000001
2022-12-16,West Slopes South,2,2,2,2,2,2,37.475,-0.25,0.0,2.725,28.94666666666667,1,37.475,-2.75,-2.375,0,105.525
2022-12-17,West Slopes South,2,2,1,2,2,2,31.8,-1.0,0.025,-3.775,33.88999999999999,1,37.475,-2.75,-2.1875,0,102.80000000000001
2022-12-18,West Slopes South,2,2,1,2,2,1,27.225,-1.5,-0.025,-0.1749999999999999,54.36333333333334,1,37.475,-2.75,-2.75,0,96.5
2022-12-19,West Slopes South,3,3,2,2,2,1,27.225,4.5,0.3,-1.375,60.94,1,31.8,2.0,2.8125,0,86.25
2022-12-20,West Slopes South,3,3,3,3,3,3,31.375,1.5,0.35,-1.125,49.89333333333334,1,31.375,7.5,4.5,0,89.975
2022-12-20,West Slopes South,3,3,3,3,3,3,31.375,1.5,0.35,-1.125,49.89333333333334,1,31.375,7.5,4.5,0,89.975
2022-12-21,West Slopes South,3,2,2,3,3,3,21.15,6.75,1.05,-18.95,70.37,1,31.375,9.75,9.75,0,83.9
2022-12-22,West Slopes South,3,3,2,3,2,2,7.075,-1.75,0.1,-5.175,56.01,1,31.375,6.5,4.4375,0,59.599999999999994
2022-12-23,West Slopes South,4,4,3,3,3,2,35.975,-4.0,-0.275,12.1,38.83,1,35.975,1.0,-1.5625,0,64.2
2022-12-24,West Slopes South,3,3,3,4,4,3,42.05,1.5,0.95,28.725,53.89333333333334,1,42.05,-4.25,-0.6875,0,85.10000000000001
2022-12-25,West Slopes South,3,3,3,3,3,3,43.625,-3.5,0.55,1.95,76.25666666666667,1,43.625,-6.0,-4.8125,0,121.65
2022-12-26,West Slopes South,3,3,3,3,3,3,43.625,-3.0,-0.275,-0.7000000000000001,59.06666666666666,1,43.625,-5.0,-5.875,0,129.3
2022-12-27,West Slopes South,3,3,2,3,3,3,40.025,-2.25,0.2,-6.300000000000001,79.77,1,43.625,-8.75,-5.875,0,127.275
2022-12-28,West Slopes South,2,2,1,3,3,2,30.375,5.75,0.45,-2.15,88.01333333333334,1,43.625,0.5,1.6875,0,114.025
2022-12-29,West Slopes South,3,3,2,2,2,1,32.225,-1.25,-0.025,0.475,68.01333333333334,1,40.025,2.25,1.1875,0,102.625
2022-12-30,West Slopes South,3,2,1,3,3,2,34.1,2.25,0.4,2.075,44.71333333333334,1,34.1,6.75,3.625,0,96.7
2022-12-31,West Slopes South,2,2,2,3,2,1,,2.5,0.725,,55.06999999999999,1,,3.5,5.0,0,
2023-01-01,West Slopes South,2,1,1,2,2,2,34.4,1.5,0.075,,44.95,1,34.4,6.25,4.1875,0,
2023-01-02,West Slopes South,2,1,1,2,1,1,27.775,-0.5,-0.05,-4.125,25.65333333333333,1,34.4,3.5,2.4375,0,
2023-01-03,West Slopes South,2,1,1,2,1,1,30.575,-1.0,-0.075,1.875,45.89000000000001,1,34.4,0.0,0.0,0,92.75
2023-01-04,West Slopes South,2,2,1,2,1,1,28.225,-2.5,0.0,0.75,35.53666666666667,1,30.575,-4.0,-3.125,0,86.57499999999999
2023-01-05,West Slopes South,2,2,1,2,2,1,34.2,-1.25,0.375,5.525,61.42333333333334,1,34.2,-4.75,-3.75,0,93.0
2023-01-06,West Slopes South,2,2,1,2,2,1,34.724999999999994,0.5,0.275,1.575,58.36333333333334,1,34.724999999999994,-3.25,-1.9375,0,97.15
2023-01-07,West Slopes South,2,2,1,2,2,1,33.075,-0.5,0.15,2.275,44.01,1,34.724999999999994,-1.25,-1.375,0,102.0
2023-01-08,West Slopes South,3,2,2,2,2,1,34.075,2.5,0.2749999999999999,-0.775,41.42,1,34.724999999999994,2.5,2.0625,0,101.875
2023-01-09,West Slopes South,2,2,2,3,2,2,32.65,3.5,0.475,-1.025,58.6,1,34.075,5.5,5.25,0,99.8
2023-01-10,West Slopes South,2,2,1,2,2,2,34.775,2.5,0.45,-1.75,50.36000000000001,1,34.775,8.5,6.25,0,101.5
2023-01-11,West Slopes South,4,4,3,2,2,1,34.75,-0.75,0.0,2.125,39.06333333333333,1,34.775,5.25,3.5,0,102.17500000000001
2023-01-12,West Slopes South,3,3,3,4,4,3,38.55,0.5,0.2249999999999999,2.275,46.35999999999999,1,38.55,2.25,2.0625,0,108.07499999999999
2023-01-13,West Slopes South,3,3,2,3,3,3,39.8,0.5,1.15,3.325,59.06666666666667,1,39.8,0.25,1.125,0,113.1
2023-01-14,West Slopes South,2,2,1,3,3,2,35.875,-3.25,-0.3249999999999999,-2.6,58.36333333333334,1,39.8,-2.25,-2.8125,0,114.225
